id,nama_makanan,kalori,protein,lemak,karbohidrat
2300,Ziti dengan Kielbasa dan Sauerkraut,521.0,20.0,27.0,49.5
2301,Strozzapreti dengan Jamur dan Ricotta,521.0,21.0,17.0,71.0
2302,Salmon Cannelloni dengan Saus Krim Lemon,521.0,36.0,36.0,13.25
2303,Pasta dengan Herbed Ricotta dan Mentega Coklat Kacang Pinus,520.0,21.0,21.0,61.75
2304,Telur Goreng Minyak Zaitun dengan Mozzarella dan Harissa,520.0,20.0,39.0,22.25
2305,Ceri dalam Sirup Almond Di Atas Yogurt Yunani,520.0,29.0,26.0,42.5
2306,Quesadillas Bawang Manis,520.0,20.0,21.0,62.75
2307,Sup Jagung yang Lezat,520.0,13.0,35.0,38.25
2308,Paprika Daging Sapi,520.0,32.0,38.0,12.5
2309,Ayam Rebus dengan Paprika Hijau dan Tomat,520.0,30.0,38.0,14.5
2310,Jambalaya Louisiana,519.0,17.0,26.0,54.25
2311,Stew Nelayan Portugis,519.0,53.0,26.0,18.25
2312,Kerang Kukus dengan Saus Kari Thailand,519.0,32.0,38.0,12.25
2313,"Gratin Kacang Putih, Tomat, dan Zucchini",519.0,22.0,17.0,69.5
2314,Mie Asia dengan Confit Bebek Panggang,519.0,14.0,25.0,59.5
2315,Sarden Panggang dengan Selada Wortel-Adas,519.0,61.0,21.0,21.5
2316,Gulungan Lasagna Labu Butternut,519.0,33.0,29.0,31.5
2317,Salad Tiga Kacang dengan Saus Cabai Ketumbar,519.0,21.0,23.0,57.0
2318,Pancake Walnut Buttermilk Panggang dengan Sirup Maple Cranberry,518.0,10.0,14.0,88.0
2319,Bakso Asia dengan Saus Celup Jeruk Nipis Wijen,518.0,35.0,36.0,13.5
2320,"Kacang Fava, Kacang Polong, dan Rebusan Artichoke",518.0,23.0,26.0,48.0
2321,Pot Roast a la New Mexico,518.0,53.0,15.0,42.75
2322,"Ikan Bass Laut dengan Daun Bawang, Kentang, dan Vinaigrette Balsamic",518.0,38.0,22.0,42.0
2323,Ikan Bass Laut dengan Fettuccine Lemon Caper,518.0,39.0,20.0,45.5
2324,Polenta Lembut dengan Daun Bawang,518.0,14.0,17.0,77.25
2325,Nasi dengan Bayam dan Keju Feta,518.0,16.0,23.0,61.75
2326,Gravlaks dengan Saus Mustard Manis,517.0,46.0,30.0,15.75
2327,Bawang Isi Thanksgiving,517.0,29.0,16.0,64.25
2328,Pasta Verde Salmon Asap,517.0,20.0,11.0,84.5
2329,Sup Salmon dan Sayur,517.0,31.0,30.0,30.75
2330,Fettucine dengan Salmon Asap dan Asparagus,517.0,20.0,25.0,53.0
2331,"Terong, Cabai Merah, dan Fontina Panini dengan Salad Bayam",517.0,28.0,37.0,18.0
2332,Betis Daging Sapi Rebus dengan Kecap dengan Kayu Manis dan Adas Bintang,517.0,58.0,10.0,48.75
2333,Udang dengan Jeruk,517.0,18.0,30.0,43.75
2334,Pot Roast dengan Kuah Kaya,516.0,62.0,16.0,31.0
2335,Lasagna Sayuran Panggang,516.0,19.0,35.0,31.25
2336,Kerang Kukus dengan Sofrito,516.0,50.0,17.0,40.75
2337,Blintz Keju dengan Kompot Strawberry-Rhubarb,515.0,11.0,28.0,54.75
2338,"Puding Roti dengan Apel, Kismis, dan Buah Ara",515.0,12.0,26.0,58.25
2339,Halibut Pada Kacang Fava Tumbuk dengan Mint,515.0,45.0,24.0,29.75
2340,Profiteroles dengan Es Krim Lavender Madu,515.0,10.0,36.0,37.75
2341,Salad Tomat Bayi dan Keju Kambing Segar,515.0,19.0,37.0,26.5
2342,Mie Benang Kacang dengan Acar Sayuran,514.0,10.0,28.0,55.5
2343,Salad Ayam dan Mangga dengan Saus Jahe-Jeruk,514.0,34.0,35.0,15.75
2344,"Ayam Rebus dengan Jantung Artichoke, Jamur, dan Paprika",514.0,32.0,26.0,38.0
2345,Salad Tomat Pusaka dengan Keju Biru,514.0,15.0,30.0,46.0
2346,Spaetzle Herba,514.0,18.0,23.0,58.75
2347,Pilus,514.0,1.0,27.8,647.0
2348,Nasi dan Mie Goreng dengan Ayam dan Cumi,514.0,22.0,21.0,59.25
2349,Orzo Carbonara,514.0,19.0,29.0,44.25
2350,Tabbouleh Timur Tengah dan Salad Domba,513.0,18.0,35.0,31.5
2351,Stew Daging Sapi Flemish,513.0,60.0,17.0,30.0
2352,Peyek kacang tanah,513.0,17.5,32.5,44.3
2353,Spageti Alla Puttanesca,513.0,19.0,18.0,68.75
2354,Bakso Saus Tomat,513.0,37.0,30.0,23.75
2355,Abon ikan,513.0,23.7,37.0,21.3
2356,Nasi Jollof,512.0,12.0,17.0,77.75
2357,Meatloaf Gaya Southern,512.0,37.0,33.0,16.75
2358,Sayuran Akar Panggang dengan Saus Romesco,512.0,11.0,26.0,58.5
2359,Paprika dengan Tepung Roti Almond-Bawang Putih,512.0,14.0,26.0,55.5
2360,Penne Puttanesca dengan Ayam,512.0,29.0,20.0,54.0
2361,Milan Ayam Lemon dengan Salad Arugula,512.0,59.0,23.0,17.25
2362,Kue tambang,512.0,26.0,26.0,60.4
2363,Ayam dengan Paprika dan Zaitun,512.0,38.0,32.0,18.0
2364,Minestrone,511.0,21.0,26.0,48.25
2365,Hanger Steak dengan Bawang Merah,511.0,42.0,32.0,13.75
2366,Aligot Gratin,511.0,21.0,35.0,28.0
2367,Fettuccine Quatro Formaggi,511.0,20.0,28.0,44.75
2368,Wrap Mangga dan Udang,511.0,30.0,25.0,41.5
2369,Mie Soba Pedas Liu Shaokun dengan Ayam,510.0,37.0,21.0,43.25
2370,Domba Berbumbu dalam Pita,510.0,28.0,34.0,23.0
2371,Sosis Panggang Herba dan Labu,510.0,20.0,39.0,19.75
2372,Taco Al Pastor,510.0,51.0,20.0,31.5
2373,Sup Mie Ayam Cina dengan Wijen dan Daun Bawang,510.0,36.0,16.0,55.5
2374,Steak Sisi Panggang dengan Rosemary,510.0,38.0,32.0,17.5
2375,Stew Seafood dengan Tomat dan Kemangi,510.0,58.0,17.0,31.25
2376,Mangkuk Salmon Asia dengan Gerimis Jeruk Nipis,509.0,30.0,20.0,52.25
2377,Stroganov Daging Sapi Shiitake,509.0,12.0,29.0,50.0
2378,"Dada Bebek dengan Ketumbar, Endive, dan Saus Jeruk Asam Manis",509.0,44.0,17.0,45.0
2379,Penne dengan Saus Kemangi-Makanan Laut,509.0,29.0,20.0,53.25
2380,Strata Bayam dan Keju,509.0,30.0,30.0,29.75
2381,Huevos Rancheros Verdes,509.0,26.0,37.0,18.0
2382,Fusilli All'Amatriciana,509.0,14.0,25.0,57.0
2383,Hash Daging Kornet,509.0,25.0,30.0,34.75
2384,Sandung Lamur Asam Manis dengan Bawang Merah dan Kentang,509.0,16.0,16.0,75.25
2385,"Pasta Musim Panas dengan Zaitun, Paprika Panggang, dan Caper",509.0,20.0,16.0,71.25
2386,Quesadillas Keju dan Hominy dengan Salsa Tropis,508.0,22.0,25.0,48.75
2387,Gratin Kentang Keemasan Yukon dengan Lobak & Parmesan,508.0,11.0,40.0,26.0
2388,Nasi Pedas dengan Udang dan Paprika,508.0,29.0,22.0,48.5
2389,Trail Mix,508.0,11.0,24.0,62.0
2390,Chowder Kerang,508.0,37.0,21.0,42.75
2391,Bakso dengan Bulgur dalam Saus Bawang dan Tomat (Voli Me Plyguri),508.0,29.0,31.0,28.25
2392,Gazpacho,507.0,12.0,30.0,47.25
2393,Kentang dan Sosis dengan Peterseli,507.0,20.0,27.0,46.0
2394,"Salad Mie Asia dengan Terong, Kacang Polong Gula, dan Saus Jeruk Nipis",507.0,16.0,16.0,74.75
2395,Tortilla Spanyol Kangkung dan Kentang,507.0,12.0,42.0,20.25
2396,Sushi Nasi Merah Quinoa,507.0,15.0,20.0,66.75
2397,Fajitas Daging Sapi Tusuk,507.0,30.0,32.0,24.75
2398,Steak Pizzaiola,507.0,30.0,38.0,11.25
2399,Telur Dadar Keju Herba dan Zucchini,507.0,28.0,39.0,11.0
2400,Penne dengan Herbed Zucchini dan Keju Kambing,506.0,20.0,15.0,72.75
2401,Linguine dan Zucchini dengan Saus Bagna Cauda,506.0,13.0,23.0,61.75
2402,Sandwich Wortel dan Keju Kambing Maroko dengan Tapenade Zaitun Hijau,506.0,13.0,31.0,43.75
2403,Nasi Liar dengan Ikan Asap dan Kacang Polong,506.0,30.0,20.0,51.5
2404,Sup Jagung dan Lobster,506.0,29.0,26.0,39.0
2405,Tumis Tahu dan Daun Bawang dengan Daging Sapi Giling,506.0,35.0,31.0,21.75
2406,Keju Kambing Provencal dan Souffle Herba,506.0,27.0,37.0,16.25
2407,Paella,505.0,13.0,27.0,52.5
2408,Mangkuk Smoothie Super Hijau dengan Matcha dan Jahe,505.0,10.0,39.0,28.5
2409,Burger Portobello Panggang dengan Piquillo Pepper Aïoli dan Selada Air,505.0,17.0,32.0,37.25
2410,Sloppy Tacos,505.0,39.0,21.0,40.0
2411,Burger Domba Mint,505.0,28.0,35.0,19.5
2412,"Terong Panggang, Sandwich dengan Lemon Aïoli, Feta, dan Mint",505.0,13.0,25.0,57.0
2413,Gumbo Sosis Udang dan Andouille,505.0,35.0,32.0,19.25
2414,Chiles Anchos Rellenos De Queso (Ancho Chiles Isi Keju),505.0,22.0,39.0,16.5
2415,French Toast Pisang-Kayu Manis,505.0,17.0,26.0,50.75
2416,Sup Sayuran Panggang Pedas dengan Tortilla Panggang,505.0,13.0,13.0,84.0
2417,Ayam Madu-Jeruk,504.0,71.0,13.0,25.75
2418,Pappardelle dengan Ragù Ayam dan Jamur,504.0,27.0,38.0,13.5
2419,"Udang, Lobster, dan Salad Bengkuang",504.0,84.0,14.0,10.5
2420,Daging Sapi Muda dengan Saus Tomat-Jeruk-Basil,504.0,36.0,34.0,13.5
2421,Casserole Ayam dan Sayuran Meksiko,504.0,31.0,36.0,14.0
2422,Lelehan Tuna Zaitun dan Adas,504.0,33.0,31.0,23.25
2423,Telur Goreng Di Atas Salad Lentil Hangat dengan Lardon,504.0,28.0,30.0,30.5
2424,"Fettuccine dengan Asparagus, Pesto Hijau Bit, dan Telur Rebus",504.0,22.0,13.0,74.75
2425,Ayam Lemon Kulit Parmesan,504.0,62.0,19.0,21.25
2426,Buncis Berbumbu Tomat,504.0,17.0,25.0,52.75
2427,Lentil San Stefano,504.0,19.0,21.0,59.75
2428,Kemplang goreng,504.0,5.6,28.1,57.1
2429,"Salad Ayam dengan Lentil, Kacang Polong, dan Mint",503.0,48.0,18.0,37.25
2430,Burger Tuna Niçoise,503.0,35.0,26.0,32.25
2431,Hashbrown Cabai Hijau,503.0,12.0,31.0,44.0
2432,Polenta Dilapisi Kubis dan Sosis,503.0,19.0,43.0,10.0
2433,Steak Flap Sirloin Panggang ,503.0,47.0,29.0,13.5
2434,Salmon yang Diasinkan Miso dengan Jeruk dan Shiitake,502.0,39.0,34.0,10.0
2435,Kakap Merah Serpihan Nasi dengan Saus Cabai Panggang,502.0,40.0,27.0,24.75
2436,Enchilada Keju dengan Saus Tomatillo-Cabai Hijau,502.0,28.0,28.0,34.5
2437,Enchilada Ayam Berlapis dengan Saus Tomatillo-Ketumbar,502.0,42.0,25.0,27.25
2438,Stew Daging Sapi Puerto Rico,502.0,33.0,13.0,63.25
2439,Pasta Penne Panggang dengan Ragoût Jamur Liar,502.0,20.0,21.0,58.25
2440,Zucchini Goreng dengan Bumbu dan Keju,502.0,12.0,42.0,19.0
2441,Tumis Domba dan Jamur Shiitake,502.0,27.0,31.0,28.75
2442,Salad Mangga dan Nasi Kelapa,502.0,11.0,23.0,62.75
2443,Daging Sapi Rebus dengan Saus Tomat,502.0,45.0,25.0,24.25
2444,"Bulgur dengan Daun Bawang, Cranberry, dan Almond",501.0,16.0,19.0,66.5
2445,Acar Udang dan Sayuran,501.0,13.0,20.0,67.25
2446,Ricotta Gelato dengan Saus Blackberry,501.0,13.0,18.0,71.75
2447,Mie Kacang dengan Sayuran Jahe dan Tahu,501.0,24.0,22.0,51.75
2448,Pie Bawang Vidalia,500.0,11.0,34.0,37.5
2449,Tart Daun Bawang Belgia dengan Keju Kambing Tua (Flamiche Aux Poireaux),500.0,10.0,39.0,27.25
2450,Sandwich Ayam Panggang dan Sayuran dengan Mayones Tarragon,500.0,14.0,30.0,43.5
2451,Pilaf Lentil-dan-Nasi Lebanon dengan Bawang Hitam,500.0,16.0,17.0,70.75
2452,Nasi Goreng Cina Deluxe,500.0,17.0,25.0,51.75
2453,"Stew Daging Sapi dengan Kentang, Tomat, dan Oregano",500.0,39.0,17.0,47.75
2454,"Pasta dengan Udang, Tomat, dan Bawang Putih",500.0,15.0,12.0,83.0
2455,Kerang dengan Hazelnut dan Vinaigrette Mentega Kecokelatan,500.0,31.0,36.0,13.0
2456,Paella Cepat,500.0,25.0,15.0,66.25
2457,Tri-Tip Diasinkan dengan Saus Mustard Cina dan Daun Bawang Panggang dan Jamur,500.0,43.0,25.0,25.75
2458,Tiram Panggang dengan Jagung Jalapeño Salsita,500.0,25.0,22.0,50.5
2459,Ikan Fajitas,499.0,34.0,26.0,32.25
2460,Strata Keju Cheddar dan Paprika Merah,499.0,24.0,32.0,28.75
2461,"Strata Cheddar, Sayur dan Sosis",499.0,25.0,33.0,25.5
2462,"Kentang, Bawang Karamel, dan Gratin Keju Kambing",499.0,15.0,20.0,64.75
2463,Mie Benang Kacang dengan Daging Sapi dan Pir Asia,499.0,27.0,24.0,43.75
2464,Dada Bebek dan Salad Frisee,499.0,21.0,35.0,25.0
2465,Ikan Dorade dengan Kentang dan Saus Tomat Meledak,498.0,44.0,22.0,31.0
2466,Ayam Panggang dengan Bawang dan Kecap,498.0,49.0,27.0,14.75
2467,Salad pasta Tuna,498.0,20.0,25.0,48.25
2468,Peyek kacang uci,497.0,17.0,27.6,50.8
2469,Flan Krim Keju,497.0,12.0,20.0,67.25
2470,Sup Bayam dan Kerang,497.0,26.0,38.0,12.75
2471,Salad Minestrone,497.0,17.0,18.0,66.75
2472,"Bass Bergaris dengan Swiss Chard, Chestnut, dan Vinaigrette Delima",497.0,28.0,27.0,35.5
2473,Pita Ayam Berbumbu Shawarma dengan Saus Tahini-Yogurt,497.0,42.0,25.0,26.0
2474,Hash Daging Kornet dengan Telur Goreng,497.0,18.0,26.0,47.75
2475,Salad Pasta Caesar,497.0,15.0,22.0,59.75
2476,Roti Panettone dan Pudding Mentega,496.0,12.0,19.0,69.25
2477,Ikan Utuh Panggang Korsika dengan Remah Roti dan Ikan Teri,496.0,62.0,18.0,21.5
2478,Kari Salad Ayam,496.0,29.0,32.0,23.0
2479,Salad Kacang Garbanzo dengan Tomat dan Cabai Chipotle,495.0,18.0,24.0,51.75
2480,Spaghetti Gandum Utuh dengan Keju Kambing dan Arugula,495.0,24.0,24.0,45.75
2481,Linguine dengan Terong,495.0,15.0,18.0,68.25
2482,Mie Soba Pedas dengan Shiitake dan Kubis,495.0,21.0,21.0,55.5
2483,Ikan Mahi-Mahi dengan Kerak Kacang Macadamia,495.0,29.0,37.0,11.5
2484,"Farfalle dengan Jamur Hutan, Kacang Polong, dan Peterseli",495.0,12.0,29.0,46.5
2485,Sup Ayam Vietnam dengan Nasi,494.0,26.0,19.0,54.75
2486,Linguine dengan Kerang dalam Saus Kacang Hitam,494.0,14.0,13.0,80.25
2487,Tostadas Salad Udang dengan Tomat dan Mentimun,494.0,11.0,37.0,29.25
2488,Kue Kepiting Lemon Pedas dengan Campuran Sayuran,494.0,24.0,35.0,20.75
2489,Labu Butternut Panggang dengan Tomat dan Kacang Pinus,494.0,11.0,28.0,49.5
2490,Roti Pipih Bawang-Adas,494.0,11.0,15.0,78.75
2491,"Stew Sumo (Chanko Nabe) dengan Udang, Bakso, dan Bok Choy",494.0,35.0,17.0,50.25
2492,Ayam Marsala dengan Sage,494.0,55.0,24.0,14.5
2493,Acar Udang,493.0,22.0,38.0,15.75
2494,Keju Halloumi Mendesis dengan Kacang Fava dan Mint,493.0,27.0,33.0,22.0
2495,"Lasagna Merah, Putih, dan Hijau",493.0,28.0,24.0,41.25
2496,Pasta Halloween Hitam dan Oranye,493.0,13.0,12.0,83.25
2497,Ayam Panggang Balsamic dan Tomat,493.0,42.0,21.0,34.0
2498,Salad Daging Sapi Teriyaki Hangat,493.0,45.0,29.0,13.0
2499,Kari Cepat,493.0,38.0,30.0,17.75
2500,Kue Tart Sayuran Musim Panas,493.0,12.0,35.0,32.5
2501,Udang Creole,492.0,30.0,24.0,39.0
2502,Bubur Jagung Maverick,492.0,26.0,27.0,36.25
2503,"Tart Endif, Stilton, dan Pir",492.0,10.0,32.0,41.0
2504,"Ayam Panggang dengan Brokoli Rabe, Kentang Fingerling, dan Jus Bawang Putih-Peterseli",492.0,47.0,21.0,28.75
2505,Krep California Selatan,492.0,27.0,32.0,24.0
2506,Biskuit ala Rumahan dengan Kuah Jamur Shiitake,492.0,10.0,24.0,59.0
2507,"Mie Soba dengan Sayuran, Tahu Renyah, dan Biji Wijen Panggang",492.0,22.0,20.0,56.0
2508,Pissaladiere,491.0,11.0,22.0,62.25
2509,Lamb Rack Panggang dengan Saus Mint,491.0,17.0,23.0,54.0
2510,Kacang Merah dan Nasi a la New Orleans dengan Sosis Fulcher,491.0,30.0,20.0,47.75
2511,Dada Ayam dengan Daun Bawang dan Jamur,491.0,40.0,25.0,26.5
2512,Tumis Ayam dengan Saus Jambu Biji,491.0,56.0,16.0,30.75
2513,Stew Seafood dengan Adas dan Timi,490.0,57.0,18.0,25.0
2514,Sup Lentil Sayur,490.0,20.0,17.0,64.25
2515,Sup Kari Kacang Tanah,490.0,18.0,29.0,39.25
2516,Pain Perdu Parmesan Gurih dengan Telur Rebus dan Sayuran,490.0,27.0,32.0,23.5
2517,Potsticker Ayam dan Herba dengan Saus Mint-Cabai,490.0,12.0,38.0,25.0
2518,Gratin Kacang Putih dan Selada Air,490.0,27.0,14.0,64.0
2519,Sup Kerang Nantucket,490.0,27.0,36.0,14.5
2520,Kerang Panggang dengan Topping Remah Roti Herbed,490.0,29.0,17.0,55.25
2521,Pai Jeruk Nipis Kunci,490.0,11.0,21.0,64.25
2522,Ayam Rebus dengan Bawang dan Bumbu,490.0,50.0,27.0,11.75
2523,Pukulan Kacang,490.0,18.0,33.0,30.25
2524,Sup Labu Musim Dingin dengan Gruyère Crouton,490.0,19.0,18.0,63.0
2525,Hati Anak Sapi dengan Apel dan Bawang,490.0,41.0,25.0,25.25
2526,Filet Mignon dengan Saus Stroganov,489.0,19.0,26.0,44.75
2527,Spaghetti dengan Saus Tomat Tanpa Masak dan Hazelnut,489.0,14.0,16.0,72.25
2528,Pizza Domba Pedas dengan Peterseli–Salad Bawang Merah,489.0,21.0,29.0,36.0
2529,Orecchiette dengan Ragù Bebek Berbumbu,489.0,23.0,24.0,45.25
2530,Ikan Cod yang Diasinkan Miso dengan Cuka Balsamic dan Grapefruit,489.0,38.0,21.0,37.0
2531,Steak Diane,489.0,43.0,23.0,27.5
2532,"Makanan Laut, Alpukat, dan Salad Hati Palm",489.0,24.0,39.0,10.5
2533,Taco Skirt Steak Panggang dengan Acar Jagung,489.0,28.0,27.0,33.5
2534,"Orecchiette dengan Jagung, Kemangi, dan Kacang Pinus",488.0,14.0,18.0,67.5
2535,"Sup Kentang, Cheddar, dan Kucai",488.0,20.0,13.0,72.75
2536,Kerang Kukus Thailand Pedas,488.0,47.0,22.0,25.5
2537,Smorgastarta,488.0,17.0,36.0,24.0
2538,"Ragoût Daging Sapi, Wortel, dan Kastanye",488.0,45.0,20.0,32.0
2539,Sup Kacang Hitam,488.0,14.0,28.0,45.0
2540,Puding Roti Kismis Pinto dengan Apel dan Keju,488.0,10.0,16.0,76.0
2541,Salad Cavatelli dengan Artichoke dan Keju Kambing,487.0,14.0,26.0,49.25
2542,Pasta Salad dengan Tomat dan Jagung,487.0,16.0,23.0,54.0
2543,Ayam Kreol dan Okra Gumbo,487.0,26.0,35.0,17.0
2544,Salad Pasta Dasi Kupu-Kupu Asia dengan Udang dan Sayuran,487.0,19.0,22.0,53.25
2545,"Tsimmes dengan Bit, Lobak, dan Daging Sapi",487.0,50.0,19.0,29.0
2546,Tortilla Panggang dengan Keju Kambing Herbed,487.0,19.0,24.0,48.75
2547,Tumis Polenta dengan Sosis Italia Manis dan Brokoli Rabe,487.0,29.0,19.0,50.0
2548,Kue Salmon dengan Saus Yogurt Lemon,487.0,28.0,36.0,12.75
2549,"Salad Kacang Hitam, Jagung, dan Tomat",486.0,23.0,16.0,62.5
2550,Halibut dalam Hazelnut Romesco dengan Kentang,486.0,37.0,30.0,17.0
2551,Kue Ejaan Espresso Coklat,486.0,10.0,21.0,64.25
2552,Salad Couscous dengan Udang dan Mint,486.0,26.0,20.0,50.5
2553,"Kebab Ayam, Jamur, dan Bok Choy",486.0,23.0,39.0,10.75
2554,Ikan Trout dengan Salsa Buah Tropis dan Campuran Sayuran,486.0,33.0,31.0,18.75
2555,Gumbo Makanan Laut Eula Mae,486.0,38.0,26.0,25.0
2556,Ayam Lemon,485.0,41.0,29.0,15.0
2557,"Ziti Panggang dengan Jamur, Paprika, dan Parmesan",485.0,20.0,20.0,56.25
2558,"Lentil, Kacang Garbanzo, dan Salad Tomat",484.0,21.0,19.0,57.25
2559,"Campanelle dengan Kacang Putih, Lemon, dan Burrata",484.0,24.0,10.0,74.5
2560,"Halibut Panggang, Terong, dan Baby Bok Choy dengan Saus Barbekyu Korea",484.0,41.0,20.0,35.0
2561,Crepes Makanan Laut Kari,484.0,30.0,18.0,50.5
2562,Ikan Bass dengan Saus Paprika Panggang Pedas,484.0,38.0,30.0,15.5
2563,Bulgogi Domba dengan Saus Pir Asia,484.0,18.0,31.0,33.25
2564,Kentang Isi Bawang Putih Cheddar,484.0,16.0,27.0,44.25
2565,Ikan Todak Panggang dengan Mentega Jeruk Nipis Ketumbar,484.0,41.0,29.0,14.75
2566,Bourguignon Daging Sapi,483.0,45.0,19.0,33.0
2567,Torte Almond-Lemon dengan Stroberi Segar,483.0,13.0,31.0,38.0
2568,Salad Steak Musim Panas dengan Saus Jahe-Jeruk Nipis,483.0,32.0,32.0,16.75
2569,Gratin Bayam dan Daun Bawang dengan Topping Remah Roquefort,483.0,13.0,33.0,33.5
2570,Tumis Seafood Meksiko dengan Salsa Alpukat-Mangga,483.0,27.0,29.0,28.5
2571,Hot Pot Ayam Asia dengan Saus Wijen dan Bawang Putih,482.0,35.0,24.0,31.5
2572,Ayam Asap Kari dan Salad Nasi Liar,482.0,24.0,26.0,38.0
2573,Arugula dan Ravioli Keju Kambing,482.0,12.0,33.0,34.25
2574,Roti Panggang Tuscan dan Salad Kacang Putih,481.0,14.0,26.0,47.75
2575,Ikan Bass Berglazur dengan Saus Mentega Jahe,481.0,14.0,37.0,23.0
2576,Salad Pasta dengan Gibb Terong Panggang,481.0,11.0,24.0,55.25
2577,"Penne Gaya Yunani dengan Domba, Parsnip, Tomat, dan Kayu Manis",481.0,17.0,15.0,69.5
2578,Bubur Jagung Sosis Keju,481.0,23.0,31.0,27.5
2579,Lentil Merah dan Kari Tahu,481.0,31.0,25.0,33.0
2580,Ayam dengan Bawang Bayi,481.0,30.0,35.0,11.5
2581,Tusuk Sate Domba Panggang dengan Bumbu Mint Pedas,481.0,33.0,26.0,28.75
2582,Ayam Parmesan dengan Campuran Baby Greens,481.0,48.0,24.0,18.25
2583,Rigatoni dengan Keju Gorgonzola,481.0,20.0,22.0,50.75
2584,French Toast a la Restoran,481.0,15.0,27.0,44.5
2585,Napoleon Dari Kepiting dan Apel,481.0,22.0,31.0,28.5
2586,Kue Krim Stroberi,481.0,10.0,20.0,65.25
2587,Kacang negara (Kalimantan),480.0,18.4,19.1,58.5
2588,Salad Ayam Panggang dan Mangga dengan Yogurt,480.0,59.0,20.0,16.0
2589,Quesadillas Keju Kambing dengan Saus Cabai Merah Panggang,480.0,13.0,28.0,44.0
2590,Pasta E Fagioli Con Salsicce (Pasta dan Kacang dengan Sosis),480.0,25.0,15.0,61.25
2591,Lasagna Asparagus,480.0,30.0,23.0,38.25
2592,Salad Orzo dengan Sayuran dan Rempah-rempah,480.0,11.0,22.0,59.5
2593,"Ayam Rebus dengan Tomat, Zaitun, dan Kacang Hijau",480.0,52.0,24.0,14.0
2594,Salad Mediterania dengan Buncis dan Arugula,479.0,22.0,29.0,32.5
2595,Boeuf Bourguignon,479.0,42.0,24.0,23.75
2596,Risotto Herba Hijau,479.0,11.0,19.0,66.0
2597,Sup Kacang Putih dan Escarole dengan Polenta Pedas,479.0,15.0,27.0,44.0
2598,Kacang bogor goreng,479.0,12.7,23.2,58.9
2599,Ayam Cabai Verde,478.0,25.0,29.0,29.25
2600,Bahu Daging Sapi Direbus dengan Gremolata dan Salad Tomat-Zaitun,478.0,57.0,22.0,13.0
2601,Serimping Talas Kebumen,478.0,2.5,21.2,69.2
2602,Medley Sayuran Musim Semi yang Direbus,478.0,18.0,18.0,61.0
2603,Tuna Tonnato dengan Salad Terong,478.0,32.0,27.0,26.75
2604,Tumis Ayam dan Kacang Mete,477.0,24.0,37.0,12.0
2605,Tumis Ayam Wijen dan Shiitake,477.0,41.0,27.0,17.5
2606,"Turnover Puff Pastry dengan Udang, Kerang, dan Bayam",477.0,12.0,33.0,33.0
2607,"Sup Sosis Asap, Kangkung, dan Kentang",477.0,25.0,18.0,53.75
2608,Kue Kepiting Louisiana,477.0,27.0,31.0,22.5
2609,Kerupuk udang,477.0,4.7,20.5,68.5
2610,Fettuccine Kerang dan Bayam dengan Saus Krim Paprika Merah,477.0,22.0,15.0,63.5
2611,Spageti dengan Tomat dan Pesto Kenari,477.0,17.0,14.0,70.75
2612,Kebab Ayam Siram Kecap Asin dengan Taburan Wijen-Jeruk,477.0,26.0,29.0,28.0
2613,Burger Koboi,476.0,25.0,26.0,35.5
2614,Cod Panggang dengan Adas dan Jeruk,476.0,40.0,20.0,34.0
2615,Sayuran Musim Gugur Layu dengan Vinaigrette Mustard Madu,476.0,10.0,30.0,41.5
2616,Penne dengan Sosis dan Saus Tomat,476.0,24.0,12.0,68.0
2617,Kentang Tumbuk Keju Kambing dengan Daun Bawang dan Daun Bawang,476.0,16.0,19.0,60.25
2618,Couscous Berbumbu dengan Kismis dan Almond,476.0,11.0,21.0,60.75
2619,Polenta Cheddar Putih dengan Tumis Sayuran dan Portobello Panggang Bawang Putih,476.0,16.0,29.0,37.75
2620,Salad Niçoise Orzo,476.0,22.0,19.0,54.25
2621,Kerupuk mie kuning,476.0,0.1,21.1,71.3
2622,"Tumis Ayam dengan Saus Parsnip, Apel, dan Sherry Pan",475.0,46.0,25.0,16.5
2623,"Lasagna Bawang, Peterseli, dan Fontina",475.0,17.0,27.0,41.0
2624,Roti Sendok Tepung Jagung dan Kangkung dengan Paprika Merah,475.0,21.0,29.0,32.5
2625,Kari Daging Sapi,475.0,42.0,18.0,36.25
2626,"Fettuccine dengan Brokoli Rabe, Tomat, dan Ricotta",475.0,17.0,24.0,47.75
2627,Udang dan Kerang dengan Terong Asia,474.0,31.0,32.0,15.5
2628,Sie Reuboh ,474.0,11.2,42.5,11.7
2629,Risotto dengan Labu dan Pancetta,474.0,13.0,17.0,67.25
2630,Intip goreng (Klaten),474.0,7.6,21.6,62.3
2631,Paprika Hijau Isi Daging Cincang,474.0,29.0,32.0,17.5
2632,Ikan Lele dengan Krim Lemon Herbed,473.0,28.0,31.0,20.5
2633,Usus ayam goreng,473.0,45.2,26.3,13.9
2634,Salmon Mengkilap Madu dan Kedelai,473.0,36.0,28.0,19.25
2635,Burger Bintang Quinoa,473.0,11.0,23.0,55.5
2636,Tumis Udang dan Mie,473.0,21.0,17.0,59.0
2637,Steak Gantungan Panggang dengan Salad Mentimun,472.0,39.0,26.0,20.5
2638,Sayuran dan Telur Rebus dengan Krim Ikan Teri,472.0,15.0,32.0,31.0
