,Food,Carbohydrates,Protein,Fats,Energy,Category
1468,Peyek kacang tunggak,59.7,11.2,20.2,451.0,Makanan ringan
1469,Spaetzle Buttermilk-Bayam,53.25,10.0,22.0,451.0,Makanan penutup
1470,Ayam dengan Zaitun dan Keju Feta,10.5,28.0,33.0,451.0,Lauk
1471,Pasta Zaitun Ganda,51.75,16.0,20.0,451.0,Pasta
1472,"Sup Kerang dengan Alpukat, Tomat, dan Dill",36.75,31.0,20.0,451.0,Masakan Barat
1473,Peyek kacang tolo,59.7,11.2,20.2,451.0,Makanan Ringan
1474,"Sup Kentang, Daun Bawang, dan Bawang dengan Roti Bakar Keju Bawang Putih",52.75,15.0,20.0,451.0,Sandwich
1475,Risotto Barley Panggang dengan Bayam dan Haluskan Herba,40.5,18.0,24.0,450.0,Masakan Barat
1476,Lobster Gulung dengan Vinaigrette Rosemary-Jahe,30.0,15.0,30.0,450.0,Lauk
1477,Sandwich Salad Kepiting,35.25,21.0,25.0,450.0,Sandwich
1478,Bagea kelapa asin,78.1,3.2,13.9,450.0,Makanan ringan
1479,Kue Buah Cherry-Almond Kering,62.0,10.0,18.0,450.0,Makanan penutup
1480,Orak-Arik Sarapan Southwest,11.0,25.0,34.0,450.0,Masakan Barat
1481,Kugel Ulang Tahun Anne Whiteman,54.5,15.0,19.0,449.0,Makanan penutup
1482,Sup Daun Bawang dan Ikan Cod,38.5,40.0,15.0,449.0,Masakan Barat
1483,Mie Ketumbar dengan Zucchini dan Wortel,69.0,14.0,13.0,449.0,Masakan Barat
1484,Salad Udang Herbed dengan Selada Air Di Atas Brioche Panggang,43.75,28.0,18.0,449.0,Salad
1485,Kerang Panggang dengan Trio Saus,10.25,57.0,20.0,449.0,Lauk
1486,Souffle Jahe dengan Sabayon Cokelat,68.75,12.0,14.0,449.0,Makanan penutup
1487,Keripik kentang,67.1,2.7,18.8,448.0,Makanan ringan
1488,Sup Ayam Kari dengan Wortel,23.0,26.0,28.0,448.0,Masakan Asia
1489,Risotto Bawang Hijau,56.5,15.0,18.0,448.0,Masakan Barat
1490,Sosis Sapi,2.3,14.5,42.3,448.0,Makanan Ringan
1491,Udang Madu Panas Panggang dengan Bok Choy dan Nasi Kimchi,44.75,29.0,17.0,448.0,Lauk
1492,Potongan Daging Dada Ayam Berkulit Gandum Utuh,32.0,44.0,16.0,448.0,Lauk
1493,Tumis Ayam dengan Vinaigrette Tomat-Saffron di Frisée,12.0,55.0,20.0,448.0,Lauk
1494,Flan Labu dengan Biji Labu Berbumbu,53.75,11.0,21.0,448.0,Makanan penutup
1495,Salmon Papan dengan Nasi Kelapa,65.5,17.0,13.0,447.0,Lauk
1496,Puding Roti Reuben,19.5,27.0,29.0,447.0,Makanan penutup
1497,Steak Halibut Berkulit Kentang,18.75,39.0,24.0,447.0,Lauk
1498,Pad Thai,61.25,19.0,14.0,447.0,Masakan Asia
1499,Sup Domba dan Barley,20.75,28.0,28.0,447.0,Masakan Barat
1500,Sup Adas Kastanye,68.25,12.0,14.0,447.0,Sayur
1501,Sup Kacang-kacangan dan Herba,33.5,13.0,29.0,447.0,Masakan Barat
1502,Spaghettini Kepiting Pedas dengan Lemon yang Diawetkan,45.5,19.0,21.0,447.0,Pasta
1503,Naan Bawang Keju Kambing dengan Salsa Mangga,50.75,16.0,20.0,447.0,Masakan Asia
1504,Keripik gadung,76.0,2.8,14.5,446.0,Makanan ringan
1505,Sandwich Sarapan Telur dan Alpukat,40.25,17.0,24.0,445.0,Sandwich
1506,Flan Roti Bakar Kayu Manis (Puding Roti),56.75,14.0,18.0,445.0,Makanan penutup
1507,"Ayam dengan Glasir Cuka Endif, Radicchio, dan Balsamic",18.0,55.0,17.0,445.0,Lauk
1508,Gratin Kentang Gruyere,42.25,24.0,20.0,445.0,Masakan Barat
1509,Kacang kapri goreng,65.5,11.0,11.0,445.0,Makanan ringan
1510,Kefta dan Kebab Zucchini,11.0,17.0,37.0,445.0,Masakan Barat
1511,Pasta Frittata dengan Brokoli Rabe dan Tomat Kering,45.5,23.0,19.0,445.0,Pasta
1512,Salad Endive dan Jícama dengan Vinaigrette Kacang Jeruk-Pinus,36.0,10.0,29.0,445.0,Salad
1513,Kerupuk cumi goreng,71.3,6.9,14.6,444.0,Makanan ringan
1514,Kerang dengan Bawang Putih dan Bumbu Halus,37.5,42.0,14.0,444.0,Lauk
1515,"Telur Dadar Souffle Asparagus, Gruyère, dan Tarragon",16.5,27.0,30.0,444.0,Lauk
1516,Ikan Trout Choucroute,17.0,31.0,28.0,444.0,Lauk
1517,Pai Picadillo Arepa,37.25,31.0,19.0,444.0,Masakan Barat
1518,Sapi Cincang dengan Paprika Merah dan Bayam,33.5,28.0,22.0,444.0,Lauk
1519,Halibut Berkulit Pistachio dengan Yogurt Pedas,17.75,39.0,24.0,443.0,Lauk
1520,"Orzo, Feta, dan Salad Tomat dengan Marjoram Vinaigrette",48.25,13.0,22.0,443.0,Salad
1521,Pizza Jamur Liar,50.75,24.0,16.0,443.0,Masakan Barat
1522,"Tomat, Bawang Merah, dan Basil Bruschetta",54.75,11.0,20.0,443.0,Masakan Barat
1523,Couscous Mutiara dengan Zaitun dan Tomat Panggang,63.75,13.0,15.0,442.0,Masakan Barat
1524,Salad Penne dan Mentimun Berherbal,46.5,10.0,24.0,442.0,Salad
1525,"Pasta dengan Keju Kambing, Lemon, dan Asparagus",60.75,16.0,15.0,442.0,Pasta
1526,"Hummus dengan Kacang Pinus Panggang, Biji Jintan, dan Minyak Peterseli",18.5,11.0,36.0,442.0,Masakan Asia
1527,Scallop Gratin dengan Mentega Bawang Putih-Lemon,43.0,27.0,18.0,442.0,Lauk
1528,Ayam Rebus Dingin dengan Saus Bawang Putih Cina,26.25,37.0,21.0,442.0,Masakan Asia
1529,"Nasi Creamy dengan Lemon, Herbal, dan Parmesan",57.0,13.0,18.0,442.0,Karbohidrat
1530,Souffle Keju Biru Maytag dengan Anggur Korintus Hitam dan Anggur Muscat,25.75,17.0,30.0,441.0,Masakan Barat
1531,Pai Es Krim Blueberry,25.0,11.0,33.0,441.0,Makanan penutup
1532,Daging Sapi Pedas dengan Kacang,34.5,35.0,18.0,440.0,Lauk
1533,Tusuk Sate Ayam-Aprikot,11.5,22.0,34.0,440.0,Masakan Asia
1534,Ayam dengan Paprika Merah,12.25,55.0,19.0,440.0,Lauk
1535,Puding beras,56.5,13.0,18.0,440.0,Makanan penutup
1536,Crepes Bayam Dill dengan Saus Avgolemono,40.5,20.0,22.0,440.0,Masakan Barat
1537,Kue ali,64.5,3.8,18.5,440.0,Jajanan
1538,Salad Ayam dan Selada Air dengan Vinaigrette Hoisin,14.25,28.0,30.0,439.0,Salad
1539,Hash Flanel Merah dengan Krim Asam Dill,27.25,15.0,30.0,439.0,Masakan Barat
1540,Pancake Udang dan Bawang Hijau,44.75,20.0,20.0,439.0,Masakan Barat
1541,Lobster Rebus dengan Mayones Wijen,20.5,15.0,33.0,439.0,Lauk
1542,Burger Mustard-Dill Panggang,28.75,36.0,20.0,439.0,Sandwich
1543,"Linguine Bawang Putih dengan Kepiting, Paprika Merah, dan Kacang Pinus",48.75,25.0,16.0,439.0,Pasta
1544,Salad Couscous Mediterania Mint,45.0,13.0,23.0,439.0,Salad
1545,Salmon Panggang dengan Saus Pengoles Maple Pedas,22.75,35.0,23.0,438.0,Lauk
1546,Artichoke Panggang Diisi dengan Ikan Teri dan Bawang Putih,34.25,10.0,29.0,438.0,Masakan Barat
1547,Mie Asia dengan Saus Jahe-Ketumbar,65.0,13.0,14.0,438.0,Masakan Asia
1548,Omelet Mozzarella dan Saus Tomat,10.0,23.0,34.0,438.0,Lauk
1549,"Monkfish Panggang dengan Chanterelles, Daun Bawang, dan Jahe",39.25,34.0,16.0,437.0,Lauk
1550,"Potpie Monkfish Krim, Tomat, dan Kerang dengan Kerak Puff Pastry",31.5,26.0,23.0,437.0,Sayur
1551,Risotto Seafood,51.5,24.0,15.0,437.0,Masakan Barat
1552,Telur Orak-arik Meksiko,17.5,22.0,31.0,437.0,Lauk
1553,Sandwich Kepiting Cangkang Lunak,26.5,31.0,23.0,437.0,Sandwich
1554,Fattoush a la Na'Ama,46.0,16.0,21.0,437.0,Salad
1555,Udang dan Kentang dengan Bawang Putih dan Kunyit,39.5,36.0,15.0,437.0,Masakan Barat
1556,Brokoli Kukus dengan Hummus,42.75,19.0,21.0,436.0,Sayur
1557,Kacang Panggang Maple,48.75,13.0,21.0,436.0,Masakan Barat
1558,Sup Ikan Provencal dengan Saffron Rouille,24.75,55.0,13.0,436.0,Masakan Barat
1559,Puding Roti Apel-Kismis,68.75,11.0,13.0,436.0,Makanan penutup
1560,Sop Bakso dan Sayur,38.5,21.0,22.0,436.0,Masakan Asia
1561,Karbonnade Daging Sapi,14.25,52.0,19.0,436.0,Masakan Barat
1562,Super Slaw,27.0,10.0,32.0,436.0,Salad
1563,Kebab Tuna dengan Bumbu Jahe-Chile,20.75,43.0,20.0,435.0,Masakan Timur Tengah
1564,Salad Sayuran dan Nasi Liar,44.5,17.0,21.0,435.0,Salad
1565,"Tumis Ayam, Cabai Merah, dan Kacang Hijau",11.0,28.0,31.0,435.0,Lauk
1566,Flan Jeruk dengan Manisan Kulit,74.0,10.0,11.0,435.0,Makanan penutup
1567,Stew Kangkung dan Kacang Putih,55.25,22.0,14.0,435.0,Sayur
1568,Kue Lobak Singapura,48.25,11.0,22.0,435.0,Masakan Asia
1569,Quiche Favorit Ratu Elizabeth,37.75,17.0,24.0,435.0,Masakan Barat
1570,Ikan Bakar dengan Salsa Jeruk-Adas,22.5,39.0,21.0,435.0,Lauk
1571,Sup Pangsit dengan Bakso Jamur-Zucchini,52.25,16.0,18.0,435.0,Masakan Asia
1572,Tumis Ayam dengan Zaitun dan Tomat Plum,13.5,41.0,24.0,434.0,Lauk
1573,Rebusan Lentil Merah Kari dengan Sayuran,43.0,16.0,22.0,434.0,Masakan Asia
1574,Bakso dengan Saus Tomat-Serrano Chili,18.75,38.0,23.0,434.0,Lauk
1575,Shakshuka Bayam,13.25,21.0,33.0,434.0,Masakan Barat
1576,Salmon Asap dan Dill Matzoh Brei,25.75,22.0,27.0,434.0,Lauk
1577,Sup Buncis Maroko,63.75,22.0,10.0,433.0,Masakan Timur Tengah
1578,Sayap Ayam Mustard Parmesan,13.25,23.0,32.0,433.0,Lauk
1579,Strudel Ayam Kari dan Nasi Liar,34.25,11.0,28.0,433.0,Masakan Barat
1580,Gratin Jagung dan Tomat,54.75,13.0,18.0,433.0,Sayur
1581,Crepes Keju Manis Austria yang Dipanggang dalam Custard,46.5,10.0,23.0,433.0,Makanan penutup
1582,Kentang Scalloped Keemasan,47.25,16.0,20.0,433.0,Masakan Barat
1583,Fettuccine dengan Artichoke,51.25,12.0,20.0,433.0,Pasta
1584,Salad Brokoli-Quinoa dengan Saus Buttermilk,45.0,16.0,21.0,433.0,Salad
1585,Blintz Keju dengan Kompot Tiga Berry,46.0,15.0,21.0,433.0,Makanan penutup
1586,Croques-Monsieur,29.25,25.0,24.0,433.0,Sandwich
1587,Dendeng sapi,0.0,55.0,9.0,433.0,Lauk
1588,Bawang Karamel dan Olesan Krim Asam,39.75,12.0,25.0,432.0,Sayur
1589,Mie Telur Wijen Dingin,53.0,10.0,20.0,432.0,Masakan Asia
1590,Risotto Kastanye dengan Butternut Squash,65.75,13.0,13.0,432.0,Masakan Barat
1591,Ayam Pedas dengan Yogurt dan Dill,13.5,54.0,18.0,432.0,Lauk
1592,Nasi Ayam Panjang,29.75,24.0,24.0,431.0,Masakan Indonesia
1593,Asparagus Serut dengan Vinaigrette Parmesan,36.5,33.0,17.0,431.0,Sayur
1594,Couscous dengan Kacang Garbanzo dan Kismis Keemasan,71.25,14.0,10.0,431.0,Masakan Barat
1595,Semifreddo Kacang Pisang,38.25,11.0,26.0,431.0,Makanan penutup
1596,Crouton Akar Seledri dan Puree Kentang dengan Artichoke Yerusalem Panggang,52.0,13.0,19.0,431.0,Masakan Timur Tengah
1597,"Pizza Paprika, Bawang Merah, dan Keju Kambing",38.75,15.0,24.0,431.0,Masakan Barat
1598,Salmon Berlapis Kecap Asin-Maple,20.0,36.0,23.0,431.0,Lauk
1599,Ikan asin teri goreng,0.0,33.4,32.4,430.0,Lauk
1600,Udang Louis,12.0,10.0,38.0,430.0,Lauk
1601,Gulungan Salad Udang,26.25,25.0,25.0,430.0,Salad
1602,Fillet Ikan Goreng Renyah Oriental,33.25,45.0,13.0,430.0,Masakan Asia
1603,Ayam Maroko dan Lentil,24.75,22.0,27.0,430.0,Masakan Timur Tengah
1604,Ikan asin pari goreng,0.0,58.2,23.6,430.0,Lauk
1605,Telur Panggang Tiga Keju dengan Paprika Panggang,13.75,26.0,30.0,429.0,Lauk
1606,"Udang, Kacang Fava, dan Salad Asparagus",23.75,25.0,26.0,429.0,Salad
1607,Spaghetti dengan Saus Daun Bawang,60.5,13.0,15.0,429.0,Pasta
1608,"Pizza Brokoli Rabe, Black Olive, dan Mozzarella Asap",29.75,10.0,30.0,429.0,Masakan Barat
1609,Chicken Tortilla Soup,33.75,33.0,18.0,429.0,Masakan Barat
1610,"Capellini dengan Ricotta Segar, Bawang Putih Panggang, Jagung, dan Rempah-rempah",42.75,15.0,22.0,429.0,Pasta
1611,Ikan Arctic Char Rebus dengan Mayones Basil-Tarragon,10.0,41.0,25.0,429.0,Lauk
1612,London Broil Panggang Marinasi Balsamic dengan Bawang Merah,14.0,39.0,24.0,428.0,Lauk
1613,Halibut dengan Remah Roti Tarragon Zaitun Di Atas Tomat Panggang dan Coulis Bawang Putih,31.75,37.0,17.0,428.0,Lauk
1614,Pai Susu,52.0,10.0,20.0,428.0,Makanan penutup
1615,Ayam Panggang Pedas dengan Saus Mol Labu Krim,11.75,57.0,17.0,428.0,Lauk
1616,Mocha Meringue,63.5,12.0,14.0,428.0,Makanan penutup
1617,Sup Pasta dan Kembang Kol,33.75,17.0,25.0,428.0,Pasta
1618,"Yogurt Pisang, Raspberry, dan Granola",52.25,12.0,19.0,428.0,Makanan penutup
1619,Nasi Goreng Keluarga Oz,67.5,17.0,10.0,428.0,Masakan Indonesia
1620,Sup Jagung Poblano dengan Udang,44.25,20.0,19.0,428.0,Lauk
1621,Gratin Kentang,55.75,13.0,17.0,428.0,Masakan Barat
1622,"Fettuccine dengan Kenari, Pita Zucchini, dan Pecorino Romano",64.5,20.0,10.0,428.0,Pasta
1623,Crepes Ayam dengan Asparagus dan Jamur,21.5,20.0,29.0,427.0,Masakan Barat
1624,Kue Kepiting Lump Jumbo dengan Jagung Manis dan Jalapeño,41.75,29.0,16.0,427.0,Masakan Barat
1625,Sup Makanan Laut dan Adas,32.5,36.0,17.0,427.0,Masakan Barat
1626,"Salad Quinoa dengan Kangkung, Kacang Pinus, dan Parmesan",40.0,15.0,23.0,427.0,Salad
1627,"Puding Roti Gurih dengan Asparagus, Gruyère, dan Bumbu Halus",30.25,27.0,22.0,427.0,Masakan Barat
1628,Flan Wajan Brokoli dan Cheddar,33.25,15.0,26.0,427.0,Makanan penutup
1629,Ikan Panggang dengan Saus Lemon Mint Thailand,25.5,34.0,21.0,427.0,Masakan Asia
1630,Spageti Lemoncello,66.75,13.0,12.0,427.0,Pasta
1631,Sup Keju dan Kentang,31.75,21.0,24.0,427.0,Masakan Barat
1632,Sup Daun Bawang dengan Crouton Bawang Putih,48.25,11.0,21.0,426.0,Masakan Barat
1633,Steak Denver Kecap Asin-Tamarin Panggang,12.5,31.0,28.0,426.0,Lauk
1634,Potongan Daging Sapi dengan Artichoke Bayi Tumis,27.25,32.0,21.0,426.0,Lauk
1635,Swiss Chard Ricotta Gnudi dengan Jamur Musim Gugur,27.75,18.0,27.0,426.0,Masakan Barat
1636,Pisang Clafouti,67.25,10.0,13.0,426.0,Makanan penutup
1637,Salad Kentang Fingerling dengan Vinaigrette Sherry-Mustard,43.5,11.0,23.0,425.0,Salad
1638,Tumis Cod Di Atas Kacang Polong dan Kubis dengan Miso Wijen Vinaigrette,13.25,30.0,28.0,425.0,Lauk
1639,Kakap Merah Dipanggang Garam dengan Saus Romesco,12.25,49.0,20.0,425.0,Lauk
1640,Kue jahe,84.6,1.6,8.8,425.0,Jajanan
1641,"Sosis Italia dengan Adas, Paprika, dan Bawang",14.25,29.0,28.0,425.0,Lauk
1642,Kentang Panggang Ganda dengan Jamur dan Keju,37.0,13.0,25.0,425.0,Masakan Barat
1643,Risotto Jagung Meksiko Cepat,53.25,17.0,16.0,425.0,Masakan Barat
1644,Orak-Arik Tahu dengan Yukon Gold dan Kentang Goreng Ubi Jalar,14.25,38.0,24.0,425.0,Lauk
1645,Salad Quinoa Pasar Petani,30.5,15.0,27.0,425.0,Salad
1646,Bebek dengan Saus Madu-Merica,19.0,40.0,21.0,425.0,Lauk
1647,Polenta dengan Gorgonzola dan Bayam,51.0,17.0,17.0,425.0,Masakan Barat
1648,"Bulgur dan Salad Kacang Hitam dengan Tomat, Bawang, dan Saus Delima",59.25,11.0,16.0,425.0,Salad
1649,Risotto Bit Jahe,65.0,12.0,13.0,425.0,Masakan Barat
1650,Halibut dengan Sayuran dan Peterseli,28.0,42.0,16.0,424.0,Lauk
1651,Eggnog Dasar,67.0,12.0,12.0,424.0,Minuman
1652,Tuna Panggang dan Salad Selada Air dengan Cita Rasa Asia,16.5,31.0,26.0,424.0,Salad
1653,Widaran,80.7,1.3,10.7,424.0,Makanan Ringan
1654,Salad Ratatouille Panggang dengan Keju Feta,22.0,12.0,32.0,424.0,Salad
1655,Couscous yang Dicetak dengan Kismis dan Kacang Pinus,57.75,12.0,16.0,423.0,Masakan Barat
1656,Kerang Panggang dengan Mignonnette Jahe,18.0,54.0,15.0,423.0,Lauk
1657,Pasta Rotelle dan Keju Kambing,60.5,18.0,12.0,422.0,Masakan Barat
1658,Kerupuk kulit kerbau,0.0,83.0,4.0,422.0,Makanan ringan
1659,Sup Krim Zucchini Dingin dengan Kerang dan Mint Segar,31.25,27.0,21.0,422.0,Masakan Barat
1660,Lanting getuk,80.4,0.9,10.8,422.0,Makanan ringan
1661,Sandwich Kentang dan Telur ala Maroko,47.75,15.0,19.0,422.0,Sandwich
1662,"Dada Bebek dengan Jeruk, Madu, dan Saus Teh",20.75,44.0,18.0,421.0,Lauk
1663,"Tuna, Asparagus, dan Salad Kentang Baru dengan Vinaigrette Kucai dan Caper Goreng",21.0,10.0,33.0,421.0,Salad
1664,Ikan Lele Pedas dengan Paprika dan Bawang Bombai,14.25,28.0,28.0,421.0,Lauk
1665,Saus Sayuran Musim Semi dan Keju Kambing,12.0,19.0,33.0,421.0,Masakan Barat
1666,Taco Purslane dan Alpukat dengan Pico De Gallo,34.75,12.0,26.0,421.0,Masakan Barat
1667,Casserole Sarapan Sosis dan Kentang,19.0,21.0,29.0,421.0,Masakan Barat
1668,Risotto Boursin dan Biji Adas,63.0,13.0,13.0,421.0,Masakan Barat
1669,Roulades Daging Sapi Berbumbu,25.25,28.0,23.0,420.0,Lauk
1670,Taco Skirt Steak Tecate,33.0,27.0,20.0,420.0,Masakan Barat
1671,Schnitzel Ayam dengan Saus Mentega Ikan Teri-Kucai,25.75,41.0,17.0,420.0,Lauk
1672,Mac and Cheese Pimiento,38.75,19.0,21.0,420.0,Masakan Barat
1673,Veal Scallops dengan Saus Jamur Krim,27.75,21.0,25.0,420.0,Lauk
1674,Penne dengan Sayuran dan Zaitun,55.0,14.0,16.0,420.0,Pasta
1675,Platter Sayur dengan Hummus Cannellini,55.5,20.0,13.0,419.0,Masakan Barat
1676,"Cavatappi dengan Tomat, Arugula, dan Ricotta",61.5,14.0,13.0,419.0,Pasta
1677,Salad Lobster dengan Sayuran Musim Panas,23.25,50.0,14.0,419.0,Salad
1678,Gratin Kentang dan Makaroni,48.25,16.0,18.0,419.0,Masakan Barat
1679,"Galette Kentang dengan Kepiting, Udang, dan Asparagus",21.0,16.0,30.0,418.0,Masakan Barat
1680,Burger Rosemary Portobello,40.75,21.0,19.0,418.0,Sandwich
1681,"Sandwich Tuna dengan Wortel, Bawang Merah, dan Peterseli",32.75,29.0,19.0,418.0,Sandwich
1682,Ayam Rebus dalam Krim Tomat Kering Matahari,15.75,55.0,15.0,418.0,Masakan Asia
1683,Kari Sayur Phanaeng,36.5,14.0,24.0,418.0,Masakan Asia
1684,Keju Haloumi Panggang dan Lemon,18.25,12.0,33.0,418.0,Lauk
1685,Sup Bakso Meksiko dengan Nasi dan Ketumbar,34.75,27.0,19.0,418.0,Masakan Barat
1686,Kerang Bakar dengan Salad Adas Segar dan Vinaigrette Kumquat-Tarragon,13.75,14.0,34.0,417.0,Salad
1687,Sauerbraten,11.5,50.0,19.0,417.0,Lauk
1688,"Daging Domba Cincang dengan Jahe, Hoisin, dan Daun Bawang",13.5,21.0,31.0,417.0,Masakan Asia
1689,Belut goreng,32.0,25.9,19.4,417.0,Lauk
1690,Gratin Gnocchi Bayam,30.0,18.0,25.0,417.0,Pasta
1691,Puding Beras Kapulaga (Payasam),61.75,11.0,14.0,417.0,Makanan penutup
1692,Sup Daging Sapi Wijen dan Kacang Salju,52.0,23.0,13.0,417.0,Masakan Barat
1693,Kue Kenari dan Almond dengan Sirup Jeruk,37.0,11.0,25.0,417.0,Makanan penutup
1694,Ayam Goreng Amerika Selatan,25.0,14.0,29.0,417.0,Lauk
1695,Burger Chimichurri Dominika,35.75,37.0,14.0,417.0,Sandwich
1696,Kue Kepiting dengan Saus Cabai Krim,42.25,19.0,19.0,416.0,Masakan Barat
1697,"Ikan Trout Mentega dengan Selada Pedas, Seledri, dan Rempah-rempah",10.75,46.0,21.0,416.0,Lauk
1698,Carpaccio Bit,29.75,18.0,25.0,416.0,Masakan Barat
1699,Sup Kacang dengan Nasi dan Daun Bawang,47.25,14.0,19.0,416.0,Masakan Barat
1700,Tortellini dalam Kaldu Parmesan,30.0,29.0,20.0,416.0,Pasta
1701,Ikan mujair goreng,0.0,46.9,23.9,416.0,Lauk
1702,Salmon yang Diawetkan Jeruk,47.25,23.0,15.0,416.0,Lauk
1703,Blini Kucai,47.0,12.0,20.0,416.0,Masakan Barat
1704,Kue Isi Ayam (B'Steeya),22.0,28.0,24.0,416.0,Makanan penutup
1705,Veal Scaloppine dengan Saus Krim Jamur,36.5,27.0,18.0,416.0,Lauk
1706,Kerang Bakar dengan Lemon dan Dill,20.0,30.0,24.0,416.0,Lauk
1707,Dada Bebek Jeruk di Atas Chicory Rebus,11.75,47.0,20.0,415.0,Lauk
1708,Risotto Asparagus,63.25,18.0,10.0,415.0,Masakan Barat
1709,"Kacang Buncis, Lada Panggang, dan Salad Caper",51.75,16.0,16.0,415.0,Salad
1710,Ikan Goreng Keemasan,22.0,48.0,15.0,415.0,Lauk
1711,Quesadillas Zaitun dan Alpukat Matang,32.25,13.0,26.0,415.0,Masakan Barat
1712,Kari Telur dengan Tomat dan Ketumbar,43.75,17.0,19.0,414.0,Masakan Asia
1713,Cioppino,21.5,55.0,12.0,414.0,Masakan Barat
1714,"Mie Telur, Chard, dan Fontina Torte",18.25,20.0,29.0,414.0,Masakan Barat
1715,Fideo dengan Kerang,27.5,31.0,20.0,414.0,Masakan Barat
1716,Strata Kepiting dan Cabai Merah Panggang,34.75,26.0,19.0,414.0,Masakan Barat
1717,Lentil dengan Labu dan Walnut,48.75,12.0,19.0,414.0,Masakan Barat
1718,Orzo dengan Saus Pedas Schlussel-Leeds,62.25,14.0,12.0,413.0,Pasta
1719,"Ikan Bass Laut, Gaya Languedoc",10.25,30.0,28.0,413.0,Lauk
1720,Kaholeo (Buton),29.8,28.7,19.8,413.0,Masakan Indonesia
1721,Hummus,26.0,12.0,29.0,413.0,Masakan Barat
1722,John Dory dengan Adas Goreng dan Saus Mentega Ikan Teri,19.25,39.0,20.0,413.0,Lauk
1723,Ikan Trout Kulit Kacang dengan Acar Nanas Daun Ketumbar,16.75,30.0,25.0,412.0,Lauk
1724,Shakshuka,28.0,21.0,24.0,412.0,Masakan Barat
1725,Hash Akar Seledri,36.75,10.0,25.0,412.0,Sayur
1726,Udang Jahe dengan Mie Asia,46.0,30.0,12.0,412.0,Masakan Asia
1727,Croque Madame,50.25,10.0,19.0,412.0,Sandwich
1728,Anything Goes Donabe,24.75,40.0,17.0,412.0,Masakan Barat
1729,Udang ala Yunani,24.25,27.0,23.0,412.0,Lauk
1730,"Salad Orzo dengan Feta, Zaitun, dan Paprika",34.5,10.0,26.0,412.0,Salad
1731,Bruschetta Lada Kuning Panggang,24.0,18.0,27.0,411.0,Masakan Barat
1732,"Barley, Kembang Kol, dan Herbal dengan Burrata",32.25,21.0,22.0,411.0,Masakan Barat
1733,Tahu Ma–Po (Dadih Kacang Pedas dengan Daging Sapi),16.75,23.0,28.0,411.0,Masakan Asia
1734,Bawang Isi Domba Berbumbu dan Delima,56.0,13.0,15.0,411.0,Lauk
1735,Soupe Au Pistou,46.25,16.0,18.0,411.0,Masakan Barat
1736,Polenta dengan Jamur,41.25,12.0,22.0,411.0,Masakan Barat
1737,Tumis Kerang dan Sayur,16.5,21.0,29.0,411.0,Lauk
1738,"Kentang, Akar Seledri, dan Stilton Gratin",40.75,17.0,20.0,411.0,Masakan Barat
1739,Kofte Domba dengan Saus Yogurt Bawang Putih,14.25,23.0,29.0,410.0,Masakan Barat
1740,Udang Chipotle Renyah dengan Jagung dan Daun Bawang,37.75,22.0,19.0,410.0,Lauk
1741,Sup Bawang Putih dan Saffron,32.25,14.0,25.0,410.0,Masakan Barat
1742,"Sayap Ayam ""La Brea Tar Pit""",14.5,34.0,24.0,410.0,Lauk
1743,Pangsit Keju Eropa Tengah,20.75,21.0,27.0,410.0,Masakan Barat
1744,"Akar Seledri, Gruyère, dan Selada Apel dengan Lobak",11.5,12.0,35.0,409.0,Sayur
1745,Dill Smoked-Salmon Hash,43.5,16.0,19.0,409.0,Lauk
1746,Salad Crudités dengan Farro dan Pecan,27.0,10.0,29.0,409.0,Salad
1747,Grinder Brokoli Rabe dan Provolone,34.0,21.0,21.0,409.0,Sandwich
1748,Kubis Asam Manis Tanpa Isi,32.5,27.0,19.0,409.0,Sayur
1749,Tumis Ayam dan Shiitake dengan Kacang Polong dan Sulur Kacang Polong,36.0,37.0,13.0,409.0,Masakan Asia
1750,"Pie Scalloped Kerang, Cheddar, dan Kucai",27.25,12.0,28.0,409.0,Masakan Barat
1751,Kerang dan Udang dengan Risotto Saffron dan Kenikmatan Zaitun Hijau,53.5,26.0,10.0,408.0,Lauk
1752,Sup Kentang Kari dan Bayam dengan Salsa Bawang dan Yogurt Mint,29.0,19.0,24.0,408.0,Masakan Asia
1753,Roti Bawang,42.75,12.0,21.0,408.0,Masakan Barat
1754,"Tart Buncis, Terong, dan Tomat",49.25,10.0,19.0,408.0,Makanan penutup
1755,Lentil yang direbus,49.5,21.0,14.0,408.0,Sayur
1756,Roti Bakar Truffle dengan Radicchio dan Telur,18.75,20.0,28.0,407.0,Sandwich
1757,Kue Hazelnut Panggang,28.75,10.0,28.0,407.0,Makanan penutup
1758,"Tumis Dada Ayam dengan Pir, Paprika, dan Salsa Ketumbar",31.0,28.0,19.0,407.0,Lauk
1759,Salmon Bakar dengan Glasir Balsamic,10.5,35.0,25.0,407.0,Lauk
1760,Gendar goreng,32.0,6.4,28.2,407.0,Jajanan
1761,Granola Bubby,67.0,10.0,11.0,407.0,Makanan penutup
1762,Tumis Sayur dengan Tahu,18.0,16.0,30.0,406.0,Lauk
1763,Kakap Merah Utuh Kukus dengan Rasa Asia,11.25,52.0,17.0,406.0,Masakan Asia
1764,Gratin Sayuran Hijau dan Bulgur,38.5,18.0,20.0,406.0,Masakan Barat
1765,Tahu Kelapa,35.25,19.0,21.0,406.0,Masakan Asia
