Name,Calories,Fat_g,Carbs_g,Protein_g,Serving_Size_g
Sup Terong Panggang dengan Pangsit Keju Kambing,456.0,19.9,56.2,15.0,100.0
Nasi Ketan dengan Sosis Cina dan Kerang Kering,456.0,12.7,60.2,11.0,100.0
Sayuran dan Kacang Tangy Berasap,456.0,8.2,25.2,19.0,100.0
"Wortel Bakar dengan Keju Kambing, Peterseli, Arugula, dan Keripik Bawang Putih Renyah",456.0,16.1,53.5,11.0,100.0
"Bawang Merah, Keju Kambing, dan Basil Tart",456.0,13.1,23.0,10.0,100.0
Pai Daun Bawang dan Seledri,455.0,8.5,40.0,13.0,100.0
Salad Merah dengan Acar Bit Vinaigrette,455.0,3.4,18.5,12.0,100.0
Daging Cincang dengan Saus Moster-Dill,455.0,12.0,16.2,30.0,100.0
Ayam Saus Sereh,455.0,10.7,23.0,39.0,100.0
Taco Daging Sapi Lembut dengan Salsa,455.0,20.0,39.2,43.0,100.0
Salad Daging Sapi dan Mie Nasi,455.0,6.0,56.2,26.0,100.0
Pita Panggang dengan Salad Yunani,455.0,10.4,40.0,13.0,100.0
Daging Domba dengan Cuka Balsamic dan Bawang,455.0,7.3,15.0,20.0,100.0
Torte Almond Panggang Coklat,454.0,7.1,42.8,10.0,100.0
Bisque Kepiting Tomat-Basil,454.0,6.6,16.2,14.0,100.0
Sup Sayuran Tuscan (Acquacotta),454.0,1.4,29.0,17.0,100.0
Pai Yogurt dengan Kompot Anggur dan Lada Hitam,454.0,1.0,59.8,11.0,100.0
3-Bahan Shakshuka,454.0,6.5,30.8,13.0,100.0
"Rigatoni dengan Brie, Tomat Anggur, Zaitun, dan Kemangi",454.0,1.8,53.0,20.0,100.0
Burger Daging Sapi Berlapis Kedelai,454.0,13.2,13.5,28.0,100.0
Tagliatelle dengan Saus Krim Salmon Asap,454.0,10.0,65.5,21.0,100.0
Sayur Kari dan Tahu Couscous,454.0,11.0,51.0,22.0,100.0
Salad Tuna Tuscan dengan Adas,454.0,7.2,14.0,23.0,100.0
Kale dengan Tumis Apel dan Bawang Bombai,454.0,2.9,29.2,19.0,100.0
Kerang Bakar dan Asparagus dengan Saus Krim Asia,454.0,9.4,49.5,28.0,100.0
Gratin Sayuran Southern,454.0,7.9,35.5,24.0,100.0
"Fillet Daging Sapi di Atas Crouton Bawang Putih dengan Bawang Panggang, Caper, dan Saus Tarragon",454.0,12.7,29.2,28.0,100.0
"Kepiting Panggang, Brie, dan Saus Artichoke",454.0,14.3,12.8,31.0,100.0
"Salad Mesclun dengan Sayuran, Keju Kambing, dan Bawang Putih Renyah",454.0,5.8,31.8,12.0,100.0
Pasta dengan Sayuran Panggang dan Feta,453.0,13.4,68.2,18.0,100.0
Champ (Irlandia),453.0,14.2,56.0,10.0,100.0
Salad Pasta Herba Tomat Pusaka,453.0,4.3,67.8,14.0,100.0
Ayam Panggang dengan Rebusan Kacang Putih dan Pancetta,453.0,10.5,17.2,24.0,100.0
Bagea kelapa manis,452.0,5.6,80.6,1.3,100.0
Gnocchi Kentang dengan Hati Ayam dan Pancetta,452.0,17.0,42.2,19.0,100.0
Stew Ayam dan Jagung Kuno,452.0,9.9,19.8,37.0,100.0
Skirt Steak Asam Pedas,452.0,22.8,10.5,35.0,100.0
Sagu Lemak (Kue Sagon),452.0,19.7,76.8,2.8,100.0
Danish Cranberry-Keju,452.0,10.4,49.0,10.0,100.0
Keju Kambing dengan Terong Panggang dan Paprika Panggang di Atas Roti Zaitun,451.0,13.7,56.8,20.0,100.0
Salad Ayam Selai Jahe,451.0,6.2,34.2,56.0,100.0
Peyek kacang tunggak,451.0,6.7,59.7,11.2,100.0
Ayam dengan Zaitun dan Keju Feta,451.0,14.4,10.5,28.0,100.0
Pasta Zaitun Ganda,451.0,4.5,51.8,16.0,100.0
"Sup Kerang dengan Alpukat, Tomat, dan Dill",451.0,1.0,36.8,31.0,100.0
Peyek kacang tolo,451.0,7.9,59.7,11.2,100.0
"Sup Kentang, Daun Bawang, dan Bawang dengan Roti Bakar Keju Bawang Putih",451.0,13.3,52.8,15.0,100.0
Risotto Barley Panggang dengan Bayam dan Haluskan Herba,450.0,8.0,40.5,18.0,100.0
Lobster Gulung dengan Vinaigrette Rosemary-Jahe,450.0,10.2,30.0,15.0,100.0
Sandwich Salad Kepiting,450.0,2.7,35.2,21.0,100.0
Bagea kelapa asin,450.0,12.6,78.1,3.2,100.0
Kue Buah Cherry-Almond Kering,450.0,18.1,62.0,10.0,100.0
Orak-Arik Sarapan Southwest,450.0,14.5,11.0,25.0,100.0
Kugel Ulang Tahun Anne Whiteman,449.0,14.6,54.5,15.0,100.0
Sup Daun Bawang dan Ikan Cod,449.0,3.6,38.5,40.0,100.0
Mie Ketumbar dengan Zucchini dan Wortel,449.0,13.5,69.0,14.0,100.0
Salad Udang Herbed dengan Selada Air Di Atas Brioche Panggang,449.0,12.3,43.8,28.0,100.0
Kerang Panggang dengan Trio Saus,449.0,10.7,10.2,57.0,100.0
Souffle Jahe dengan Sabayon Cokelat,449.0,14.1,68.8,12.0,100.0
Keripik kentang,448.0,12.2,67.1,2.7,100.0
Sup Ayam Kari dengan Wortel,448.0,2.9,23.0,26.0,100.0
Risotto Bawang Hijau,448.0,9.0,56.5,15.0,100.0
Udang Madu Panas Panggang dengan Bok Choy dan Nasi Kimchi,448.0,14.1,44.8,29.0,100.0
Potongan Daging Dada Ayam Berkulit Gandum Utuh,448.0,19.8,32.0,44.0,100.0
Tumis Ayam dengan Vinaigrette Tomat-Saffron di Frisée,448.0,9.8,12.0,55.0,100.0
Flan Labu dengan Biji Labu Berbumbu,448.0,7.3,53.8,11.0,100.0
Salmon Papan dengan Nasi Kelapa,447.0,5.9,65.5,17.0,100.0
Puding Roti Reuben,447.0,16.1,19.5,27.0,100.0
Steak Halibut Berkulit Kentang,447.0,12.4,18.8,39.0,100.0
Pad Thai,447.0,5.1,61.2,19.0,100.0
Sup Domba dan Barley,447.0,1.1,20.8,28.0,100.0
Sup Adas Kastanye,447.0,3.8,68.2,12.0,100.0
Sup Kacang-kacangan dan Herba,447.0,0.8,33.5,13.0,100.0
Spaghettini Kepiting Pedas dengan Lemon yang Diawetkan,447.0,3.7,45.5,19.0,100.0
Naan Bawang Keju Kambing dengan Salsa Mangga,447.0,1.2,50.8,16.0,100.0
Keripik gadung,446.0,9.0,76.0,2.8,100.0
Sandwich Sarapan Telur dan Alpukat,445.0,19.1,40.2,17.0,100.0
Flan Roti Bakar Kayu Manis (Puding Roti),445.0,5.7,56.8,14.0,100.0
"Ayam dengan Glasir Cuka Endif, Radicchio, dan Balsamic",445.0,9.7,18.0,55.0,100.0
Gratin Kentang Gruyere,445.0,13.9,42.2,24.0,100.0
Kacang kapri goreng,445.0,10.4,65.5,11.0,100.0
Kefta dan Kebab Zucchini,445.0,14.1,11.0,17.0,100.0
Pasta Frittata dengan Brokoli Rabe dan Tomat Kering,445.0,4.2,45.5,23.0,100.0
Salad Endive dan Jícama dengan Vinaigrette Kacang Jeruk-Pinus,445.0,1.0,36.0,10.0,100.0
Kerupuk cumi goreng,444.0,13.1,71.3,6.9,100.0
Kerang dengan Bawang Putih dan Bumbu Halus,444.0,8.7,37.5,42.0,100.0
"Telur Dadar Souffle Asparagus, Gruyère, dan Tarragon",444.0,10.9,16.5,27.0,100.0
Ikan Trout Choucroute,444.0,10.0,17.0,31.0,100.0
Pai Picadillo Arepa,444.0,7.2,37.2,31.0,100.0
Sapi Cincang dengan Paprika Merah dan Bayam,444.0,13.1,33.5,28.0,100.0
Halibut Berkulit Pistachio dengan Yogurt Pedas,443.0,5.0,17.8,39.0,100.0
"Orzo, Feta, dan Salad Tomat dengan Marjoram Vinaigrette",443.0,4.9,48.2,13.0,100.0
Pizza Jamur Liar,443.0,10.3,50.8,24.0,100.0
"Tomat, Bawang Merah, dan Basil Bruschetta",443.0,14.6,54.8,11.0,100.0
Couscous Mutiara dengan Zaitun dan Tomat Panggang,442.0,9.3,63.8,13.0,100.0
Salad Penne dan Mentimun Berherbal,442.0,9.9,46.5,10.0,100.0
"Pasta dengan Keju Kambing, Lemon, dan Asparagus",442.0,14.3,60.8,16.0,100.0
"Hummus dengan Kacang Pinus Panggang, Biji Jintan, dan Minyak Peterseli",442.0,7.7,18.5,11.0,100.0
Scallop Gratin dengan Mentega Bawang Putih-Lemon,442.0,14.1,43.0,27.0,100.0
Ayam Rebus Dingin dengan Saus Bawang Putih Cina,442.0,1.0,26.2,37.0,100.0
"Nasi Creamy dengan Lemon, Herbal, dan Parmesan",442.0,13.1,57.0,13.0,100.0
Souffle Keju Biru Maytag dengan Anggur Korintus Hitam dan Anggur Muscat,441.0,1.9,25.8,17.0,100.0
Pai Es Krim Blueberry,441.0,9.2,25.0,11.0,100.0
Daging Sapi Pedas dengan Kacang,440.0,8.6,34.5,35.0,100.0
Tusuk Sate Ayam-Aprikot,440.0,11.6,11.5,22.0,100.0
Ayam dengan Paprika Merah,440.0,12.4,12.2,55.0,100.0
Puding beras,440.0,14.7,56.5,13.0,100.0
Crepes Bayam Dill dengan Saus Avgolemono,440.0,15.5,40.5,20.0,100.0
Kue ali,440.0,23.6,64.5,3.8,100.0
Salad Ayam dan Selada Air dengan Vinaigrette Hoisin,439.0,7.2,14.2,28.0,100.0
Hash Flanel Merah dengan Krim Asam Dill,439.0,9.8,27.2,15.0,100.0
Pancake Udang dan Bawang Hijau,439.0,10.9,44.8,20.0,100.0
Lobster Rebus dengan Mayones Wijen,439.0,1.0,20.5,15.0,100.0
Burger Mustard-Dill Panggang,439.0,7.1,28.8,36.0,100.0
"Linguine Bawang Putih dengan Kepiting, Paprika Merah, dan Kacang Pinus",439.0,7.4,48.8,25.0,100.0
Salad Couscous Mediterania Mint,439.0,9.6,45.0,13.0,100.0
Salmon Panggang dengan Saus Pengoles Maple Pedas,438.0,4.1,22.8,35.0,100.0
Artichoke Panggang Diisi dengan Ikan Teri dan Bawang Putih,438.0,10.9,34.2,10.0,100.0
Mie Asia dengan Saus Jahe-Ketumbar,438.0,6.8,65.0,13.0,100.0
Omelet Mozzarella dan Saus Tomat,438.0,7.9,10.0,23.0,100.0
"Monkfish Panggang dengan Chanterelles, Daun Bawang, dan Jahe",437.0,6.9,39.2,34.0,100.0
"Potpie Monkfish Krim, Tomat, dan Kerang dengan Kerak Puff Pastry",437.0,23.4,31.5,26.0,100.0
Risotto Seafood,437.0,6.4,51.5,24.0,100.0
Telur Orak-arik Meksiko,437.0,14.0,17.5,22.0,100.0
Sandwich Kepiting Cangkang Lunak,437.0,23.5,26.5,31.0,100.0
Fattoush a la Na'Ama,437.0,10.1,46.0,16.0,100.0
Udang dan Kentang dengan Bawang Putih dan Kunyit,437.0,2.2,39.5,36.0,100.0
Brokoli Kukus dengan Hummus,436.0,0.8,42.8,19.0,100.0
Kacang Panggang Maple,436.0,6.6,48.8,13.0,100.0
Sup Ikan Provencal dengan Saffron Rouille,436.0,3.3,24.8,55.0,100.0
Puding Roti Apel-Kismis,436.0,15.5,68.8,11.0,100.0
Sop Bakso dan Sayur,436.0,8.1,38.5,21.0,100.0
Karbonnade Daging Sapi,436.0,9.5,14.2,52.0,100.0
Super Slaw,436.0,0.5,27.0,10.0,100.0
Kebab Tuna dengan Bumbu Jahe-Chile,435.0,8.2,20.8,43.0,100.0
Salad Sayuran dan Nasi Liar,435.0,7.5,44.5,17.0,100.0
"Tumis Ayam, Cabai Merah, dan Kacang Hijau",435.0,4.3,11.0,28.0,100.0
Flan Jeruk dengan Manisan Kulit,435.0,0.8,74.0,10.0,100.0
Stew Kangkung dan Kacang Putih,435.0,5.7,55.2,22.0,100.0
Kue Lobak Singapura,435.0,21.1,48.2,11.0,100.0
Quiche Favorit Ratu Elizabeth,435.0,6.3,37.8,17.0,100.0
Ikan Bakar dengan Salsa Jeruk-Adas,435.0,5.8,22.5,39.0,100.0
Sup Pangsit dengan Bakso Jamur-Zucchini,435.0,0.9,52.2,16.0,100.0
Tumis Ayam dengan Zaitun dan Tomat Plum,434.0,5.2,13.5,41.0,100.0
Rebusan Lentil Merah Kari dengan Sayuran,434.0,0.5,43.0,16.0,100.0
Bakso dengan Saus Tomat-Serrano Chili,434.0,9.9,18.8,38.0,100.0
Salmon Asap dan Dill Matzoh Brei,434.0,3.7,25.8,22.0,100.0
Sup Buncis Maroko,433.0,4.3,63.8,22.0,100.0
Sayap Ayam Mustard Parmesan,433.0,18.9,13.2,23.0,100.0
Strudel Ayam Kari dan Nasi Liar,433.0,3.1,34.2,11.0,100.0
Gratin Jagung dan Tomat,433.0,7.9,54.8,13.0,100.0
Crepes Keju Manis Austria yang Dipanggang dalam Custard,433.0,13.9,46.5,10.0,100.0
Kentang Scalloped Keemasan,433.0,9.2,47.2,16.0,100.0
Fettuccine dengan Artichoke,433.0,4.1,51.2,12.0,100.0
Salad Brokoli-Quinoa dengan Saus Buttermilk,433.0,7.9,45.0,16.0,100.0
Blintz Keju dengan Kompot Tiga Berry,433.0,11.4,46.0,15.0,100.0
Croques-Monsieur,433.0,6.8,29.2,25.0,100.0
Bawang Karamel dan Olesan Krim Asam,432.0,10.4,39.8,12.0,100.0
Mie Telur Wijen Dingin,432.0,11.9,53.0,10.0,100.0
Risotto Kastanye dengan Butternut Squash,432.0,9.8,65.8,13.0,100.0
Ayam Pedas dengan Yogurt dan Dill,432.0,12.2,13.5,54.0,100.0
Nasi Ayam Panjang,431.0,6.1,29.8,24.0,100.0
Asparagus Serut dengan Vinaigrette Parmesan,431.0,7.2,36.5,33.0,100.0
Couscous dengan Kacang Garbanzo dan Kismis Keemasan,431.0,7.8,71.2,14.0,100.0
Semifreddo Kacang Pisang,431.0,1.4,38.2,11.0,100.0
Crouton Akar Seledri dan Puree Kentang dengan Artichoke Yerusalem Panggang,431.0,6.9,52.0,13.0,100.0
"Pizza Paprika, Bawang Merah, dan Keju Kambing",431.0,17.9,38.8,15.0,100.0
Salmon Berlapis Kecap Asin-Maple,431.0,4.2,20.0,36.0,100.0
Ikan asin teri goreng,430.0,11.4,0.0,33.4,100.0
Gulungan Salad Udang,430.0,7.4,26.2,25.0,100.0
Fillet Ikan Goreng Renyah Oriental,430.0,12.3,33.2,45.0,100.0
Ayam Maroko dan Lentil,430.0,10.5,24.8,22.0,100.0
Ikan asin pari goreng,430.0,13.5,0.0,58.2,100.0
Telur Panggang Tiga Keju dengan Paprika Panggang,429.0,13.1,13.8,26.0,100.0
"Udang, Kacang Fava, dan Salad Asparagus",429.0,6.0,23.8,25.0,100.0
Spaghetti dengan Saus Daun Bawang,429.0,7.7,60.5,13.0,100.0
"Pizza Brokoli Rabe, Black Olive, dan Mozzarella Asap",429.0,8.5,29.8,10.0,100.0
Chicken Tortilla Soup,429.0,2.4,33.8,33.0,100.0
"Capellini dengan Ricotta Segar, Bawang Putih Panggang, Jagung, dan Rempah-rempah",429.0,14.0,42.8,15.0,100.0
Ikan Arctic Char Rebus dengan Mayones Basil-Tarragon,429.0,1.6,10.0,41.0,100.0
London Broil Panggang Marinasi Balsamic dengan Bawang Merah,428.0,14.6,14.0,39.0,100.0
Halibut dengan Remah Roti Tarragon Zaitun Di Atas Tomat Panggang dan Coulis Bawang Putih,428.0,9.3,31.8,37.0,100.0
Pai Susu,428.0,8.6,52.0,10.0,100.0
Ayam Panggang Pedas dengan Saus Mol Labu Krim,428.0,18.6,11.8,57.0,100.0
Mocha Meringue,428.0,12.6,63.5,12.0,100.0
Sup Pasta dan Kembang Kol,428.0,1.0,33.8,17.0,100.0
"Yogurt Pisang, Raspberry, dan Granola",428.0,1.2,52.2,12.0,100.0
Nasi Goreng Keluarga Oz,428.0,14.5,67.5,17.0,100.0
Sup Jagung Poblano dengan Udang,428.0,1.9,44.2,20.0,100.0
Gratin Kentang,428.0,6.5,55.8,13.0,100.0
"Fettuccine dengan Kenari, Pita Zucchini, dan Pecorino Romano",428.0,1.8,64.5,20.0,100.0
Crepes Ayam dengan Asparagus dan Jamur,427.0,8.9,21.5,20.0,100.0
Kue Kepiting Lump Jumbo dengan Jagung Manis dan Jalapeño,427.0,21.2,41.8,29.0,100.0
Sup Makanan Laut dan Adas,427.0,1.8,32.5,36.0,100.0
"Salad Quinoa dengan Kangkung, Kacang Pinus, dan Parmesan",427.0,3.0,40.0,15.0,100.0
"Puding Roti Gurih dengan Asparagus, Gruyère, dan Bumbu Halus",427.0,14.1,30.2,27.0,100.0
Flan Wajan Brokoli dan Cheddar,427.0,11.1,33.2,15.0,100.0
Ikan Panggang dengan Saus Lemon Mint Thailand,427.0,9.0,25.5,34.0,100.0
Spageti Lemoncello,427.0,13.5,66.8,13.0,100.0
Sup Keju dan Kentang,427.0,3.7,31.8,21.0,100.0
Sup Daun Bawang dengan Crouton Bawang Putih,426.0,1.9,48.2,11.0,100.0
Steak Denver Kecap Asin-Tamarin Panggang,426.0,16.0,12.5,31.0,100.0
Potongan Daging Sapi dengan Artichoke Bayi Tumis,426.0,8.8,27.2,32.0,100.0
Swiss Chard Ricotta Gnudi dengan Jamur Musim Gugur,426.0,9.0,27.8,18.0,100.0
Pisang Clafouti,426.0,1.6,67.2,10.0,100.0
Salad Kentang Fingerling dengan Vinaigrette Sherry-Mustard,425.0,5.7,43.5,11.0,100.0
Tumis Cod Di Atas Kacang Polong dan Kubis dengan Miso Wijen Vinaigrette,425.0,6.5,13.2,30.0,100.0
Kakap Merah Dipanggang Garam dengan Saus Romesco,425.0,11.6,12.2,49.0,100.0
"Sosis Italia dengan Adas, Paprika, dan Bawang",425.0,13.9,14.2,29.0,100.0
Kentang Panggang Ganda dengan Jamur dan Keju,425.0,10.4,37.0,13.0,100.0
Risotto Jagung Meksiko Cepat,425.0,14.4,53.2,17.0,100.0
Orak-Arik Tahu dengan Yukon Gold dan Kentang Goreng Ubi Jalar,425.0,11.5,14.2,38.0,100.0
Salad Quinoa Pasar Petani,425.0,3.3,30.5,15.0,100.0
Bebek dengan Saus Madu-Merica,425.0,13.2,19.0,40.0,100.0
Polenta dengan Gorgonzola dan Bayam,425.0,17.4,51.0,17.0,100.0
"Bulgur dan Salad Kacang Hitam dengan Tomat, Bawang, dan Saus Delima",425.0,8.9,59.2,11.0,100.0
Risotto Bit Jahe,425.0,13.3,65.0,12.0,100.0
Halibut dengan Sayuran dan Peterseli,424.0,9.2,28.0,42.0,100.0
Eggnog Dasar,424.0,11.6,67.0,12.0,100.0
Tuna Panggang dan Salad Selada Air dengan Cita Rasa Asia,424.0,4.1,16.5,31.0,100.0
Widaran,424.0,7.2,80.7,1.3,100.0
Salad Ratatouille Panggang dengan Keju Feta,424.0,12.7,22.0,12.0,100.0
Couscous yang Dicetak dengan Kismis dan Kacang Pinus,423.0,10.4,57.8,12.0,100.0
Kerang Panggang dengan Mignonnette Jahe,423.0,10.2,18.0,54.0,100.0
Pasta Rotelle dan Keju Kambing,422.0,10.5,60.5,18.0,100.0
Kerupuk kulit kerbau,422.0,11.0,0.0,83.0,100.0
Sup Krim Zucchini Dingin dengan Kerang dan Mint Segar,422.0,9.3,31.2,27.0,100.0
Lanting getuk,422.0,13.8,80.4,0.9,100.0
Sandwich Kentang dan Telur ala Maroko,422.0,17.4,47.8,15.0,100.0
"Dada Bebek dengan Jeruk, Madu, dan Saus Teh",421.0,0.0,20.8,44.0,100.0
"Tuna, Asparagus, dan Salad Kentang Baru dengan Vinaigrette Kucai dan Caper Goreng",421.0,14.1,21.0,10.0,100.0
Ikan Lele Pedas dengan Paprika dan Bawang Bombai,421.0,10.0,14.2,28.0,100.0
Saus Sayuran Musim Semi dan Keju Kambing,421.0,19.7,12.0,19.0,100.0
Taco Purslane dan Alpukat dengan Pico De Gallo,421.0,6.1,34.8,12.0,100.0
Casserole Sarapan Sosis dan Kentang,421.0,13.1,19.0,21.0,100.0
Risotto Boursin dan Biji Adas,421.0,13.5,63.0,13.0,100.0
Roulades Daging Sapi Berbumbu,420.0,14.9,25.2,28.0,100.0
Taco Skirt Steak Tecate,420.0,15.1,33.0,27.0,100.0
Schnitzel Ayam dengan Saus Mentega Ikan Teri-Kucai,420.0,9.1,25.8,41.0,100.0
Mac and Cheese Pimiento,420.0,13.3,38.8,19.0,100.0
Veal Scallops dengan Saus Jamur Krim,420.0,14.0,27.8,21.0,100.0
Penne dengan Sayuran dan Zaitun,420.0,9.1,55.0,14.0,100.0
Platter Sayur dengan Hummus Cannellini,419.0,11.4,55.5,20.0,100.0
"Cavatappi dengan Tomat, Arugula, dan Ricotta",419.0,8.7,61.5,14.0,100.0
Salad Lobster dengan Sayuran Musim Panas,419.0,9.3,23.2,50.0,100.0
Gratin Kentang dan Makaroni,419.0,5.4,48.2,16.0,100.0
"Galette Kentang dengan Kepiting, Udang, dan Asparagus",418.0,8.8,21.0,16.0,100.0
Burger Rosemary Portobello,418.0,26.3,40.8,21.0,100.0
"Sandwich Tuna dengan Wortel, Bawang Merah, dan Peterseli",418.0,16.2,32.8,29.0,100.0
Ayam Rebus dalam Krim Tomat Kering Matahari,418.0,2.3,15.8,55.0,100.0
Kari Sayur Phanaeng,418.0,6.7,36.5,14.0,100.0
Keju Haloumi Panggang dan Lemon,418.0,9.2,18.2,12.0,100.0
Sup Bakso Meksiko dengan Nasi dan Ketumbar,418.0,2.2,34.8,27.0,100.0
Kerang Bakar dengan Salad Adas Segar dan Vinaigrette Kumquat-Tarragon,417.0,9.0,13.8,14.0,100.0
Sauerbraten,417.0,7.5,11.5,50.0,100.0
"Daging Domba Cincang dengan Jahe, Hoisin, dan Daun Bawang",417.0,13.5,13.5,21.0,100.0
Belut goreng,417.0,13.2,32.0,25.9,100.0
Gratin Gnocchi Bayam,417.0,8.4,30.0,18.0,100.0
Puding Beras Kapulaga (Payasam),417.0,12.6,61.8,11.0,100.0
Sup Daging Sapi Wijen dan Kacang Salju,417.0,4.5,52.0,23.0,100.0
Kue Kenari dan Almond dengan Sirup Jeruk,417.0,22.0,37.0,11.0,100.0
Ayam Goreng Amerika Selatan,417.0,25.0,25.0,14.0,100.0
Burger Chimichurri Dominika,417.0,23.2,35.8,37.0,100.0
Kue Kepiting dengan Saus Cabai Krim,416.0,19.1,42.2,19.0,100.0
"Ikan Trout Mentega dengan Selada Pedas, Seledri, dan Rempah-rempah",416.0,10.0,10.8,46.0,100.0
Carpaccio Bit,416.0,11.1,29.8,18.0,100.0
Sup Kacang dengan Nasi dan Daun Bawang,416.0,3.3,47.2,14.0,100.0
Tortellini dalam Kaldu Parmesan,416.0,1.2,30.0,29.0,100.0
Ikan mujair goreng,416.0,10.8,0.0,46.9,100.0
Salmon yang Diawetkan Jeruk,416.0,0.8,47.2,23.0,100.0
Blini Kucai,416.0,10.2,47.0,12.0,100.0
Kue Isi Ayam (B'Steeya),416.0,11.4,22.0,28.0,100.0
Veal Scaloppine dengan Saus Krim Jamur,416.0,13.9,36.5,27.0,100.0
Kerang Bakar dengan Lemon dan Dill,416.0,10.8,20.0,30.0,100.0
Dada Bebek Jeruk di Atas Chicory Rebus,415.0,0.9,11.8,47.0,100.0
Risotto Asparagus,415.0,8.1,63.2,18.0,100.0
"Kacang Buncis, Lada Panggang, dan Salad Caper",415.0,12.4,51.8,16.0,100.0
Ikan Goreng Keemasan,415.0,10.5,22.0,48.0,100.0
Quesadillas Zaitun dan Alpukat Matang,415.0,8.0,32.2,13.0,100.0
Kari Telur dengan Tomat dan Ketumbar,414.0,5.4,43.8,17.0,100.0
Cioppino,414.0,5.9,21.5,55.0,100.0
"Mie Telur, Chard, dan Fontina Torte",414.0,12.3,18.2,20.0,100.0
Fideo dengan Kerang,414.0,9.7,27.5,31.0,100.0
Strata Kepiting dan Cabai Merah Panggang,414.0,14.3,34.8,26.0,100.0
Lentil dengan Labu dan Walnut,414.0,9.0,48.8,12.0,100.0
Orzo dengan Saus Pedas Schlussel-Leeds,413.0,9.7,62.2,14.0,100.0
"Ikan Bass Laut, Gaya Languedoc",413.0,9.3,10.2,30.0,100.0
Kaholeo (Buton),413.0,5.2,29.8,28.7,100.0
Hummus,413.0,7.1,26.0,12.0,100.0
John Dory dengan Adas Goreng dan Saus Mentega Ikan Teri,413.0,13.6,19.2,39.0,100.0
Ikan Trout Kulit Kacang dengan Acar Nanas Daun Ketumbar,412.0,1.9,16.8,30.0,100.0
Shakshuka,412.0,7.5,28.0,21.0,100.0
Hash Akar Seledri,412.0,13.1,36.8,10.0,100.0
Udang Jahe dengan Mie Asia,412.0,9.0,46.0,30.0,100.0
Croque Madame,412.0,8.4,50.2,10.0,100.0
Anything Goes Donabe,412.0,8.8,24.8,40.0,100.0
Udang ala Yunani,412.0,6.3,24.2,27.0,100.0
"Salad Orzo dengan Feta, Zaitun, dan Paprika",412.0,2.7,34.5,10.0,100.0
Bruschetta Lada Kuning Panggang,411.0,13.0,24.0,18.0,100.0
"Barley, Kembang Kol, dan Herbal dengan Burrata",411.0,9.6,32.2,21.0,100.0
Tahu Ma–Po (Dadih Kacang Pedas dengan Daging Sapi),411.0,9.8,16.8,23.0,100.0
Bawang Isi Domba Berbumbu dan Delima,411.0,9.3,56.0,13.0,100.0
Soupe Au Pistou,411.0,2.3,46.2,16.0,100.0
Polenta dengan Jamur,411.0,10.6,41.2,12.0,100.0
Tumis Kerang dan Sayur,411.0,8.0,16.5,21.0,100.0
"Kentang, Akar Seledri, dan Stilton Gratin",411.0,8.6,40.8,17.0,100.0
Kofte Domba dengan Saus Yogurt Bawang Putih,410.0,14.9,14.2,23.0,100.0
Udang Chipotle Renyah dengan Jagung dan Daun Bawang,410.0,2.3,37.8,22.0,100.0
Sup Bawang Putih dan Saffron,410.0,1.3,32.2,14.0,100.0
"Sayap Ayam ""La Brea Tar Pit""",410.0,15.9,14.5,34.0,100.0
Pangsit Keju Eropa Tengah,410.0,12.9,20.8,21.0,100.0
"Akar Seledri, Gruyère, dan Selada Apel dengan Lobak",409.0,0.6,11.5,12.0,100.0
Dill Smoked-Salmon Hash,409.0,8.7,43.5,16.0,100.0
Salad Crudités dengan Farro dan Pecan,409.0,3.0,27.0,10.0,100.0
Grinder Brokoli Rabe dan Provolone,409.0,6.9,34.0,21.0,100.0
Kubis Asam Manis Tanpa Isi,409.0,5.3,32.5,27.0,100.0
Tumis Ayam dan Shiitake dengan Kacang Polong dan Sulur Kacang Polong,409.0,8.6,36.0,37.0,100.0
"Pie Scalloped Kerang, Cheddar, dan Kucai",409.0,22.7,27.2,12.0,100.0
Kerang dan Udang dengan Risotto Saffron dan Kenikmatan Zaitun Hijau,408.0,8.9,53.5,26.0,100.0
Sup Kentang Kari dan Bayam dengan Salsa Bawang dan Yogurt Mint,408.0,0.3,29.0,19.0,100.0
"Tart Buncis, Terong, dan Tomat",408.0,14.2,49.2,10.0,100.0
Lentil yang direbus,408.0,1.8,49.5,21.0,100.0
Roti Bakar Truffle dengan Radicchio dan Telur,407.0,10.3,18.8,20.0,100.0
Kue Hazelnut Panggang,407.0,13.2,28.8,10.0,100.0
"Tumis Dada Ayam dengan Pir, Paprika, dan Salsa Ketumbar",407.0,3.7,31.0,28.0,100.0
Salmon Bakar dengan Glasir Balsamic,407.0,7.6,10.5,35.0,100.0
Gendar goreng,407.0,14.5,32.0,6.4,100.0
Granola Bubby,407.0,5.6,67.0,10.0,100.0
Tumis Sayur dengan Tahu,406.0,2.7,18.0,16.0,100.0
Kakap Merah Utuh Kukus dengan Rasa Asia,406.0,2.0,11.2,52.0,100.0
Gratin Sayuran Hijau dan Bulgur,406.0,11.5,38.5,18.0,100.0
Tahu Kelapa,406.0,9.6,35.2,19.0,100.0
Ayam Maroko dengan Lemon Meyer yang Diawetkan dan Zaitun Hijau,406.0,18.8,12.8,55.0,100.0
Ledre pisang (Bojonegoro),405.0,0.5,84.9,4.8,100.0
